px,py,pq,vx,vy,vq
0.789027,-0.694224,0.115771,0,0,0
0.789019,-0.694218,0.115834,-0.00160476,0.00124606,0.012655
0.788995,-0.6942,0.116024,-0.00320272,0.00248683,0.0252564
0.788955,-0.694169,0.116339,-0.00479389,0.00372233,0.0378042
0.788899,-0.694125,0.11678,-0.00637826,0.00495255,0.0502984
0.788827,-0.694069,0.117345,-0.00795583,0.00617749,0.062739
0.78874,-0.694002,0.118034,-0.0095266,0.00739716,0.0751259
0.788637,-0.693922,0.118847,-0.0110906,0.00861154,0.0874593
0.788518,-0.693829,0.119783,-0.0126477,0.00982065,0.0997391
0.788384,-0.693725,0.120842,-0.0141981,0.0110245,0.111965
0.788234,-0.693609,0.122023,-0.0157417,0.012223,0.124138
0.788069,-0.693481,0.123325,-0.0172785,0.0134163,0.136257
0.787889,-0.693341,0.124747,-0.0188085,0.0146043,0.148322
0.787693,-0.693189,0.126291,-0.0203316,0.015787,0.160334
0.787482,-0.693025,0.127954,-0.021848,0.0169644,0.172292
0.787256,-0.692849,0.129736,-0.0233576,0.0181366,0.184196
0.787015,-0.692662,0.131638,-0.0248604,0.0193035,0.196047
0.786759,-0.692463,0.133657,-0.0263564,0.0204651,0.207844
0.786488,-0.692253,0.135794,-0.0278456,0.0216214,0.219588
0.786202,-0.692031,0.138049,-0.029328,0.0227724,0.231278
0.785901,-0.691797,0.14042,-0.0308036,0.0239182,0.242914
0.785586,-0.691553,0.142907,-0.0322724,0.0250587,0.254497
0.785256,-0.691296,0.14551,-0.0337344,0.0261939,0.266027
0.784911,-0.691029,0.148227,-0.0351896,0.0273238,0.277502
0.784552,-0.69075,0.151059,-0.036638,0.0284485,0.288924
0.784179,-0.69046,0.154006,-0.0380796,0.0295678,0.300293
0.783791,-0.690159,0.157065,-0.0395144,0.0306819,0.311607
0.783388,-0.689846,0.160238,-0.0409424,0.0317907,0.322868
0.782972,-0.689523,0.163522,-0.0423636,0.0328943,0.334076
0.782541,-0.689188,0.166919,-0.043778,0.0339925,0.34523
0.782096,-0.688843,0.170427,-0.0451857,0.0350855,0.35633
0.781637,-0.688487,0.174045,-0.0465865,0.0361732,0.367377
0.781164,-0.688119,0.177774,-0.0479805,0.0372556,0.37837
0.780678,-0.687741,0.181613,-0.0493677,0.0383328,0.38931
0.780177,-0.687353,0.18556,-0.0507481,0.0394046,0.400196
0.779663,-0.686953,0.189616,-0.0521218,0.0404712,0.411028
0.779135,-0.686543,0.19378,-0.0534886,0.0415325,0.421807
0.778593,-0.686123,0.198052,-0.0548486,0.0425885,0.432532
0.778038,-0.685692,0.202431,-0.0562018,0.0436393,0.443203
0.777469,-0.68525,0.206916,-0.0575483,0.0446848,0.453821
0.776887,-0.684798,0.211507,-0.0588879,0.045725,0.464385
0.776291,-0.684336,0.216204,-0.0602207,0.0467599,0.474896
0.775682,-0.683863,0.221005,-0.0615468,0.0477895,0.485353
0.77506,-0.68338,0.22591,-0.062866,0.0488139,0.495756
0.774425,-0.682887,0.23092,-0.0641785,0.0498329,0.506106
0.773777,-0.682383,0.236032,-0.0654841,0.0508467,0.516402
0.773116,-0.68187,0.241248,-0.066783,0.0518553,0.526645
0.772441,-0.681346,0.246565,-0.068075,0.0528585,0.536834
0.771754,-0.680812,0.251984,-0.0693603,0.0538565,0.546969
0.771054,-0.680269,0.257504,-0.0706387,0.0548491,0.557051
0.770341,-0.679715,0.263125,-0.0719104,0.0558366,0.567079
0.769616,-0.679152,0.268846,-0.0731752,0.0568187,0.577054
0.768878,-0.678579,0.274666,-0.0744333,0.0577955,0.586975
0.768127,-0.677996,0.280585,-0.0756845,0.0587671,0.596842
0.767364,-0.677404,0.286603,-0.076929,0.0597334,0.606656
0.766589,-0.676802,0.292718,-0.0781667,0.0606944,0.616416
0.765801,-0.67619,0.298931,-0.0793975,0.0616501,0.626122
0.765001,-0.675569,0.30524,-0.0806216,0.0626006,0.635775
0.764188,-0.674938,0.311646,-0.0818388,0.0635458,0.645374
0.763364,-0.674298,0.318148,-0.0830493,0.0644857,0.65492
0.762527,-0.673648,0.324744,-0.084253,0.0654203,0.664412
0.761679,-0.672989,0.331436,-0.0854499,0.0663496,0.67385
0.760818,-0.672321,0.338221,-0.0866399,0.0672737,0.683235
0.759946,-0.671644,0.3451,-0.0878232,0.0681925,0.692567
0.759062,-0.670957,0.352072,-0.0889997,0.069106,0.701844
0.758166,-0.670262,0.359137,-0.0901694,0.0700142,0.711068
0.757259,-0.669557,0.366293,-0.0913323,0.0709172,0.720239
0.75634,-0.668844,0.373541,-0.0924883,0.0718148,0.729355
0.755409,-0.668121,0.38088,-0.0936376,0.0727072,0.738419
0.754467,-0.667389,0.38831,-0.0947801,0.0735943,0.747428
0.753513,-0.666649,0.395829,-0.0959158,0.0744762,0.756384
0.752549,-0.6659,0.403437,-0.0970447,0.0753527,0.765286
0.751572,-0.665142,0.411134,-0.0981668,0.076224,0.774135
0.750585,-0.664375,0.41892,-0.0992821,0.07709,0.78293
0.749587,-0.6636,0.426793,-0.100391,0.0779507,0.791672
0.748577,-0.662816,0.434753,-0.101492,0.0788062,0.80036
0.747557,-0.662024,0.4428,-0.102587,0.0796563,0.808994
0.746526,-0.661223,0.450933,-0.103675,0.0805012,0.817575
0.745484,-0.660414,0.459151,-0.104757,0.0813408,0.826102
0.744431,-0.659597,0.467454,-0.105831,0.0821751,0.834575
0.743367,-0.658771,0.475842,-0.106899,0.0830042,0.842995
0.742293,-0.657936,0.484314,-0.10796,0.083828,0.851361
0.741208,-0.657094,0.492869,-0.109014,0.0846465,0.859674
0.740112,-0.656244,0.501508,-0.110061,0.0854597,0.867933
0.739007,-0.655385,0.510228,-0.111102,0.0862676,0.876138
0.73789,-0.654518,0.51903,-0.112135,0.0870703,0.88429
0.736764,-0.653644,0.527914,-0.113162,0.0878676,0.892388
0.735627,-0.652761,0.536878,-0.114182,0.0886597,0.900433
0.73448,-0.65187,0.545922,-0.115196,0.0894465,0.908424
0.733323,-0.650972,0.555046,-0.116202,0.0902281,0.916361
0.732156,-0.650066,0.564249,-0.117202,0.0910044,0.924245
0.730979,-0.649152,0.573531,-0.118195,0.0917753,0.932075
0.729792,-0.64823,0.58289,-0.119181,0.092541,0.939852
0.728596,-0.647301,0.592328,-0.12016,0.0933015,0.947575
0.727389,-0.646364,0.601842,-0.121133,0.0940566,0.955244
0.726173,-0.64542,0.611432,-0.122099,0.0948065,0.96286
0.724947,-0.644468,0.621099,-0.123058,0.0955511,0.970422
0.723712,-0.643509,0.630841,-0.12401,0.0962904,0.977931
0.722467,-0.642542,0.640657,-0.124955,0.0970244,0.985385
0.721213,-0.641568,0.650548,-0.125894,0.0977532,0.992787
0.719949,-0.640587,0.660513,-0.126825,0.0984767,1.00013
0.718676,-0.639599,0.670551,-0.12775,0.0991949,1.00743
0.717394,-0.638603,0.680661,-0.128668,0.0999078,1.01467
0.716103,-0.637601,0.690844,-0.12958,0.100615,1.02186
0.714803,-0.636591,0.701098,-0.130484,0.101318,1.02899
0.713493,-0.635575,0.711423,-0.131382,0.102015,1.03607
0.712175,-0.634551,0.721819,-0.132273,0.102707,1.04309
0.710848,-0.63352,0.732285,-0.133157,0.103393,1.05007
0.709512,-0.632483,0.74282,-0.134035,0.104074,1.05699
0.708167,-0.631439,0.753425,-0.134905,0.10475,1.06385
0.706814,-0.630388,0.764097,-0.135769,0.105421,1.07066
0.705452,-0.629331,0.774838,-0.136626,0.106087,1.07742
0.704081,-0.628266,0.785645,-0.137476,0.106747,1.08412
0.702702,-0.627196,0.79652,-0.138319,0.107402,1.09078
0.701315,-0.626118,0.807461,-0.139156,0.108051,1.09737
0.699919,-0.625035,0.818467,-0.139986,0.108695,1.10392
0.698515,-0.623944,0.829539,-0.140809,0.109334,1.11041
0.697103,-0.622848,0.840675,-0.141625,0.109968,1.11684
